Date,Open,High,Low,Close,Adj Close,Volume
2023-09-14,36.009998,36.529999,35.029999,35.130001,35.032745,382100
2023-09-15,35.000000,35.259998,34.500000,35.110001,35.012802,481100
2023-09-18,34.750000,35.919998,34.750000,34.779999,34.683716,226600
2023-09-19,34.099998,34.860001,33.860001,34.810001,34.713634,470200
2023-09-20,35.049999,35.560001,33.980000,34.049999,33.955734,264300
2023-09-21,33.549999,34.020000,32.840000,33.810001,33.716400,426800
2023-09-22,33.919998,34.700001,33.209999,33.419998,33.327477,203800
2023-09-25,33.139999,33.669998,32.610001,32.860001,32.769032,285900
2023-09-26,32.520000,32.840000,32.099998,32.180000,32.090912,257400
2023-09-27,32.320000,32.750000,32.000000,32.509998,32.419998,310000
2023-09-28,32.470001,33.230000,32.279999,32.700001,32.700001,198900
2023-09-29,33.270000,33.349998,32.730000,32.959999,32.959999,268500
2023-10-02,32.860001,33.349998,32.599998,32.950001,32.950001,322600
2023-10-03,32.470001,32.950001,32.150002,32.240002,32.240002,349000
2023-10-04,32.310001,32.889999,31.790001,32.689999,32.689999,295100
2023-10-05,32.639999,33.340000,31.969999,33.330002,33.330002,236300
2023-10-06,33.000000,34.189999,33.000000,33.900002,33.900002,365800
2023-10-09,33.549999,34.310001,33.529999,34.310001,34.310001,268000
2023-10-10,34.580002,35.400002,34.439999,34.750000,34.750000,360100
2023-10-11,34.880001,35.790001,34.880001,35.750000,35.750000,379800
2023-10-12,35.689999,35.689999,32.910000,33.529999,33.529999,414900
2023-10-13,33.810001,34.009998,32.400002,32.750000,32.750000,260500
2023-10-16,33.020000,33.830002,32.669998,33.759998,33.759998,206000
2023-10-17,33.439999,34.480000,33.439999,33.740002,33.740002,360000
2023-10-18,33.180000,33.180000,32.070000,32.599998,32.599998,494400
2023-10-19,32.540001,33.000000,31.850000,32.430000,32.430000,445700
